layer,head,interaction_B,interaction_B_lo,interaction_B_hi,interaction_A,interaction_A_lo,interaction_A_hi,role_selectivity,ai_evil_write_B,user_evil_write_A
19,27,-0.33355899434536695,-0.5308222897205269,-0.13140465023170692,0.562925288133556,0.47524068849161266,0.6589312301221071,0.896484282478923,1.8358844523318112,1.5569138516584644
19,22,-0.2803266093833372,-0.39054250078625047,-0.17081788274226714,0.05042462560959393,0.0007028416634057078,0.09782535772574191,0.33075123499293113,0.5301936572068371,0.947024847893772
19,0,0.5884506427682936,0.4482331403531134,0.7325722229317762,0.8986620591022074,0.7706801556865684,1.0160582194221206,0.3102114163339138,-0.8331767765339464,-0.8708433939609677
19,2,-0.6854204131523147,-0.7617073497662205,-0.6114329882591847,-0.5138593920273706,-0.5965021753945621,-0.43296375150675886,0.1715610211249441,0.6830307017662562,0.6004211487597786
20,0,-0.4010121722531039,-0.4909190184112958,-0.3099442020808056,-0.2381274287472479,-0.29480108259595,-0.18175107876304536,0.16288474350585602,0.4378896961425198,0.5303309166629333
19,4,-0.7322172296699136,-0.7882330180611461,-0.6684799033813761,-0.6101165482541546,-0.6827272866663406,-0.5398128637505579,0.12210068141575903,0.6202839490724728,0.4737375096301548
19,23,-0.112506565899821,-0.17409325595799602,-0.05617633154979558,-0.0009393186483066529,-0.04614851153237396,0.041622395347076235,0.11156724725151435,0.3033677367056953,0.5070578636514256
20,1,-0.3585154977045022,-0.43450113422222786,-0.2795640191601706,-0.24775866471463814,-0.3034966935985722,-0.19279440508107654,0.11075683298986405,0.4424988364626188,0.4824357498146128
19,3,-0.09261585600324906,-0.10346899801297696,-0.08221762963876245,-0.03975611571513582,-0.04868578729365254,-0.030932743952507745,0.052859740288113244,0.14946400532789994,0.09846288638800615
19,21,-0.024927677324740216,-0.04135571210790658,-0.010220274501625683,0.02588965473114513,0.0021216104272753005,0.05294782107994251,0.050817332055885345,-0.03918754756159615,-0.11748723157506902
20,2,0.21019624744076282,0.12021452508342918,0.3010848938836716,0.24521162582095712,0.19845670463400894,0.28675319484900685,0.035015378380194306,-0.49515278806211427,-0.4035277136717923
20,26,-0.01316244641202502,-0.019389884692645864,-0.00668469454321894,0.00842916505644098,0.002141924138413742,0.014982464201602848,0.021591611468466,0.030096389862592332,0.04327898658812046
19,1,0.010657351929694414,0.007536756397166756,0.014319057644752319,0.026588521723169833,0.02193106869381154,0.031156418395403306,0.01593116979347542,0.01888312434311956,0.025758222182048485
20,5,-0.059386537061072886,-0.07972794777233502,-0.03921300893780426,-0.04603261403099168,-0.05914075640430383,-0.03282547065027757,0.013353923030081205,0.09957963123451918,0.1589095850722515
19,18,0.004383414881885983,0.002345470192449284,0.00651543057829258,0.017520989076729165,0.015170840131031583,0.019862289759385022,0.013137574194843182,-0.0055937142969924025,-0.015473279059733613
20,23,-0.010762918369437102,-0.01689020937683381,-0.005654898874490755,0.0012955900820088573,-0.0041965780248574445,0.006491126067885488,0.01205850845144596,0.023332871973252622,0.02681390233556158
20,25,-0.0007577643264085054,-0.012736597315961263,0.011206360863798179,0.010209847561782226,0.0026535046672506724,0.017600852632313032,0.010967611888190731,0.053420921016368084,0.0720410937210545
19,24,-0.006287500000325963,-0.012984922422037925,0.0006183803001476917,0.0024045870814006776,-0.005120200574310729,0.01001895688532386,0.00869208708172664,0.0402920587657718,0.11681843009137083
20,24,-0.008379790029721335,-0.01160112072757329,-0.005006242823583308,-0.0015701598604209721,-0.004807850722136209,0.0020565067839925172,0.0068096301693003625,-0.0007595788483740762,0.003489051159704104
20,11,0.006325193753582425,0.005397128642289317,0.007404759504788671,0.011896331845491659,0.010229183804403874,0.013610213660831505,0.0055711380919092335,0.002171258231101092,-0.0002902820888266433
19,10,-0.03226813459150435,-0.0356708769837951,-0.02881609404853407,-0.027128516929224133,-0.029813301199374108,-0.0243071036406036,0.005139617662280216,0.026263471384481818,0.018530246597947553
19,8,-0.002842047226295108,-0.0033861795399843684,-0.0022926805774204696,0.0014384535606950521,0.0006869239065508736,0.0021949225939806635,0.00428050078699016,0.005287308400511392,0.002400980818492826
20,9,0.005999273504130542,0.0045180008048191665,0.007393545197555795,0.00966619950486347,0.007989556982647628,0.011399628006620331,0.0036669260007329285,-0.0034573705052025616,-0.005983926239423454
19,9,0.002328806178411469,0.0018241988836962264,0.0028453417406126393,0.005108189187012613,0.004448862927529262,0.005801148698810721,0.002779383008601144,0.000984681726549752,0.004237664776155725
20,4,-0.050912102655274794,-0.061768307750025994,-0.04048525984253502,-0.04846221729530953,-0.06192126056776033,-0.0346333725075965,0.002449885359965265,0.05568307473731693,0.08712650508095976
19,7,-0.004861914178036386,-0.00809440647262818,-0.001781651229612182,-0.0034789792698575184,-0.0065589399704549575,-0.00030233467423386245,0.0013829349081788678,0.005202607489991351,0.004782951662491541
20,8,-0.0018754419579636306,-0.002486707929347176,-0.0012324101793637966,-0.0015887485642451793,-0.0024531863775337113,-0.0005547623419261072,0.00028669339371845126,-0.0019074112205998972,-0.0007304786267923191
19,19,-0.0026715483254520223,-0.005115199145438965,-4.978340039087977e-05,-0.0027411718911025673,-0.005531378613522975,0.0002757528505753722,-6.962356565054506e-05,-0.010194100374064874,-0.0065673233912093565
20,14,0.0057121947829728015,0.0018825848510459764,0.00956971384021017,0.004673227151215542,0.0005763655353803188,0.008912124065136594,-0.0010389676317572594,-0.020213107589370338,-0.014323907544167014
19,15,0.0014736819175595883,-0.0032808859983560978,0.006215275267459218,0.0002977221411128994,-0.004213445333698473,0.0046812625701932115,-0.001175959776446689,0.009527629108561086,-0.004704498822320602
19,16,-0.0039338395872619,-0.007570083071914269,-0.00019352380768396024,-0.005431424418929964,-0.01210046943888301,0.0011043628539482596,-0.001497584831668064,-0.015535588187049143,-0.047134971275227144
20,17,-0.006713506925734691,-0.011377504711344955,-0.0020064739921508592,-0.009265778178814799,-0.014600370228254177,-0.004757567648448459,-0.0025522712530801073,0.0008979996855487116,0.008278851819341071
20,16,-0.014260414100135677,-0.01762441894152289,-0.01089167886912037,-0.016833752786624245,-0.02088553286739625,-0.012854130075356808,-0.0025733386864885688,0.013604387604573276,0.013471521881001536
19,17,0.009768011990672676,0.006916778403410717,0.012676325018492206,0.006905198533786461,0.004137797209568817,0.009586655782732122,-0.002862813456886215,-0.0003040767132915789,-0.0076544638905033935
20,13,-0.0026786914822878316,-0.004226100656524068,-0.0012282066472835142,-0.00576232565799728,-0.007041251586088038,-0.004466676633091993,-0.0030836341757094488,0.005259648605715483,0.008783802833931986
20,7,-0.00802866857702611,-0.01066724804486512,-0.005575179616789684,-0.011836382691399194,-0.01323976016647066,-0.010492141723989334,-0.003807714114373084,0.0084036513180763,0.01996217353735119
19,12,0.002847917981853243,0.0005929281682256261,0.005524908816551033,-0.0011743474096874706,-0.0023260980349732565,7.518994734709795e-05,-0.004022265391540714,-0.005595437036390649,-0.010802994711411884
19,11,-0.013170714606530964,-0.01750683271093294,-0.008884509213385173,-0.017253794358111918,-0.02022444141766755,-0.014356645056977868,-0.004083079751580954,-0.01213948818622157,-0.006950414564926177
20,12,0.013652375433593988,0.011817703537235501,0.015485097307828254,0.009327526553533971,0.0074224680676707065,0.01127163570636185,-0.004324848880060017,-0.00032607506727799773,-0.004445444035809487
20,27,0.006786649348214269,0.00041909078208846045,0.013409311389841602,0.0019366963533684611,-0.0032775358187791424,0.006821555153874214,-0.0048499529948458076,0.0047713663370814174,0.0032967659935820848
19,14,0.0038103649858385324,-0.0022213031363207845,0.009628855997289062,-0.0012385814625304192,-0.009180376252334099,0.005711387096380349,-0.005048946448368952,0.012973989068996161,0.014961612163460813
20,19,-0.0059683812578441575,-0.011821376864827472,0.0003883027173287692,-0.01142746651021298,-0.01877758067603281,-0.003891768078756288,-0.005459085252368823,0.03464911967603257,0.04179007447237382
20,15,-0.005104090687382268,-0.007271724492056819,-0.0028995511527682544,-0.011849139242258389,-0.015320227621668892,-0.00841919562244584,-0.006745048554876121,-1.97484278032789e-05,-0.008660082774440525
20,10,0.0029198291595093906,0.0008035430015297608,0.004744207641488174,-0.00421153282513842,-0.0068008747846761254,-0.0017000782499962954,-0.0071313619846478105,0.0008274067949969321,-0.004313396726502106
19,13,-0.009215954196406528,-0.011056342349911574,-0.007473561311417144,-0.017517783082439564,-0.019814308273635107,-0.015300867940095487,-0.008301828886033036,0.0064427342877024785,0.0029813820947310887
20,18,-0.008208334220398683,-0.01164874665937532,-0.004773119301898987,-0.018141966211260296,-0.021555193429230714,-0.015027574837222347,-0.009933631990861613,-0.010046783045254415,-0.00013314851821633056
20,22,-0.0067193174618296325,-0.015433912708249408,0.0021419430690002603,-0.018580124276923016,-0.025306064408505337,-0.01201904018671485,-0.011860806815093383,0.031841838354012,0.007199278348707594
20,20,0.007255562115460634,-0.00647792645067966,0.02201021088440029,-0.006230435625184327,-0.019623038335703315,0.006391776984673919,-0.013485997740644962,0.12230995239224285,0.2335079484328162
19,25,0.017231645761057734,0.013333689470528043,0.021223878852106283,0.003087757228058763,-0.0008041053988563363,0.007259349837477202,-0.014143888532998972,0.010754658171208575,0.005988343873468693
19,20,0.0024004250299185514,-0.0035407880837738047,0.007948194257187423,-0.011778524291003123,-0.015591036256228107,-0.008012341717403617,-0.014178949320921674,-0.0037455925485119224,-0.004462516706553288
19,5,-0.04795789282070473,-0.05568741091701668,-0.03879942643034156,-0.063525670877425,-0.07143554304057034,-0.05605857035989174,-0.015567778056720272,0.07351918893982656,0.11187797972525004
19,6,-0.04034976559341885,-0.05863590367007419,-0.02296170617628377,-0.05734167090849951,-0.06942714659089688,-0.0450933725835057,-0.016991905315080658,0.1639719297963893,0.21439222313347273
20,6,0.0387507620616816,0.00650742113502929,0.06996636792318896,0.015848066250327975,-0.0004653924057492986,0.03196134221070678,-0.022902695811353624,-0.20489211301901378,-0.24759025310049765
20,21,-0.026300884783267975,-0.035534600785467774,-0.01776053517824039,-0.09494407573947683,-0.11154316535757972,-0.08058974839295843,-0.06864319095620885,-0.02426953992107883,-0.08543087460566312
19,26,0.06905261854990385,-0.00935252838389715,0.1487803754484048,-0.0748128418053966,-0.1550023514944769,0.0015173956286162044,-0.14386546035530046,-0.440144556647283,-0.23350023779494222
20,3,-0.19615407014498487,-0.25785305167664774,-0.13180001431464916,-0.3433053262415342,-0.37887065151153365,-0.3070359899982577,-0.14715125609654933,0.43845733141642995,0.5372900679067243
